user_input,ai_response,category,follow_up,tone
It's nice to see you!,Hello! How are you today?,Greeting,What have you been up to recently?,Friendly
How are you?,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Reassuring
Hello!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Patient
It's nice to see you!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Friendly
How are you?,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Friendly
How are you?,Hello! How are you today?,Greeting,What have you been up to recently?,Empathetic
Hi there!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Empathetic
How have you been?,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Encouraging
Good evening!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Patient
How have you been?,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Friendly
"Hey, how are you today?",Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Friendly
Good morning!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Reassuring
How have you been?,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Encouraging
How have you been?,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Empathetic
How are you?,Hello! How are you today?,Greeting,What have you been up to recently?,Friendly
How have you been?,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Empathetic
"Hey, how are you today?",It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Reassuring
It's nice to see you!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Reassuring
"Hey, how are you today?",Hello! How are you today?,Greeting,What have you been up to recently?,Patient
How are you?,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Empathetic
"Hey, how are you today?",Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Reassuring
Hello!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Friendly
Good afternoon!,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Encouraging
It's nice to see you!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Empathetic
Hello!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Encouraging
It's nice to see you!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Encouraging
Hope you're doing well!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Friendly
Good morning!,Good evening! I hope you had a great day.,Greeting,What was the best part of your day?,Encouraging
Good evening!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Empathetic
"Hey, how are you today?",Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Reassuring
Hi there!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Empathetic
Hope you're doing well!,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Reassuring
How have you been?,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Empathetic
How have you been?,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Reassuring
Hi there!,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Reassuring
Good afternoon!,Hello! How are you today?,Greeting,What have you been up to recently?,Empathetic
How are you?,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Encouraging
Good morning!,Good evening! I hope you had a great day.,Greeting,What was the best part of your day?,Patient
Hi there!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Encouraging
Good morning!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Patient
Hi there!,Good evening! I hope you had a great day.,Greeting,What was the best part of your day?,Empathetic
Good morning!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Patient
Hello!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Friendly
Hello!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Reassuring
"Hey, how are you today?",Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Encouraging
Hi there!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Patient
Hope you're doing well!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Reassuring
Hello!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Reassuring
How are you?,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Friendly
Good evening!,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Friendly
Good evening!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Empathetic
Hello!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Friendly
Good afternoon!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Encouraging
Hi there!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Patient
It's nice to see you!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Reassuring
It's nice to see you!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Encouraging
Hi there!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Friendly
Good morning!,Hello! How are you today?,Greeting,What have you been up to recently?,Empathetic
Good evening!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Reassuring
"Hey, how are you today?",It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Empathetic
How are you?,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Friendly
How have you been?,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Encouraging
Good evening!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Reassuring
Hope you're doing well!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Encouraging
It's nice to see you!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Empathetic
Hope you're doing well!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Empathetic
Hello!,Hello! How are you today?,Greeting,What have you been up to recently?,Friendly
Hi there!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Encouraging
Hope you're doing well!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Empathetic
Good morning!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Patient
Hello!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Encouraging
Hi there!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Patient
Hope you're doing well!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Encouraging
How have you been?,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Friendly
It's nice to see you!,Hello! How are you today?,Greeting,What have you been up to recently?,Reassuring
Hope you're doing well!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Friendly
Good afternoon!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Reassuring
Good morning!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Encouraging
Hi there!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Empathetic
Good afternoon!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Friendly
Hope you're doing well!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Patient
How are you?,Hello! How are you today?,Greeting,What have you been up to recently?,Friendly
"Hey, how are you today?",Hello! How are you today?,Greeting,What have you been up to recently?,Encouraging
Good evening!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Reassuring
Hope you're doing well!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Encouraging
Good afternoon!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Encouraging
"Hey, how are you today?",How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Encouraging
How have you been?,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Patient
How are you?,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Patient
"Hey, how are you today?",Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Patient
Hope you're doing well!,Good evening! I hope you had a great day.,Greeting,What was the best part of your day?,Patient
